game,difficulty,amplitude,velocity,time,xpos,y_computer,y_human,y_error,trial,x,y,z
juego1,facil,40.0,0.008,28329,700,333,333,0,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28362,700,332,333,1,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28372,700,331,333,2,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28382,700,331,333,2,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28392,700,330,333,3,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28402,700,330,333,3,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28412,700,329,333,4,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28422,700,328,333,5,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28432,700,328,333,5,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28442,700,327,333,6,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28452,700,327,333,6,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28463,700,326,333,7,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28474,700,325,333,8,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28485,700,325,333,8,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28496,700,324,333,9,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28506,700,324,333,9,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28517,700,323,333,10,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28528,700,323,333,10,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28539,700,322,333,11,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28551,700,321,333,12,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28561,700,321,333,12,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28573,700,320,333,13,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28585,700,320,333,13,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28595,700,319,333,14,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28606,700,319,333,14,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28617,700,318,333,15,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28628,700,317,333,16,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28638,700,317,333,16,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28650,700,316,333,17,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28661,700,316,333,17,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28672,700,315,333,18,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28684,700,315,333,18,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28694,700,314,333,19,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28705,700,313,333,20,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28716,700,313,333,20,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28727,700,312,333,21,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28738,700,312,333,21,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28749,700,311,333,22,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28760,700,311,333,22,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28771,700,310,333,23,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28782,700,309,333,24,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28793,700,309,333,24,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28805,700,308,333,25,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28816,700,308,333,25,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28826,700,307,333,26,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28837,700,307,333,26,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28849,700,306,333,27,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28859,700,306,333,27,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28870,700,305,333,28,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28882,700,305,333,28,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28892,700,304,333,29,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28903,700,303,333,30,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28915,700,303,333,30,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28926,700,302,333,31,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28936,700,302,333,31,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28948,700,301,333,32,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28959,700,301,333,32,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28969,700,300,333,33,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28981,700,300,333,33,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,28992,700,300,333,33,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29002,700,300,333,33,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29014,700,299,333,34,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29025,700,299,333,34,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29035,700,298,333,35,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29047,700,298,333,35,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29057,700,297,333,36,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29068,700,297,333,36,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29081,700,296,333,37,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29091,700,296,333,37,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29101,700,295,333,38,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29113,700,295,333,38,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29124,700,294,333,39,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29135,700,294,333,39,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29146,700,293,333,40,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29157,700,293,333,40,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29168,700,292,333,41,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29179,700,292,333,41,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29190,700,291,333,42,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29201,700,291,333,42,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29212,700,290,333,43,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29223,700,290,333,43,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29234,700,289,333,44,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29245,700,289,333,44,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29256,700,288,333,45,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29268,700,288,333,45,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29279,700,287,333,46,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29290,700,287,333,46,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29301,700,287,333,46,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29312,700,286,333,47,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29322,700,286,333,47,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29334,700,285,333,48,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29345,700,285,333,48,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29356,700,284,333,49,0,0.1,0.1,0.1
juego1,facil,40.0,0.008,29367,700,284,333,49,0,0.1,0.1,0.1
