speed,amp1,amp2,kp
0.008,0,0,1
0.008,50,0,1
0.008,0,0,1
0.008,50,0,0
0.008,0,0,1
0.008,-50,0,1
0.008,0,0,1
0.008,-50,0,0
0.008,0,0,1
0.008,60,0,1
0.008,0,0,1
0.008,60,0,0
0.008,0,0,1
0.008,-60,0,1
0.008,0,0,1
0.008,-60,0,0
0.008,0,0,1
0.008,30,0,1
0.008,0,0,1
0.008,30,0,0
0.008,0,0,1
0.008,-30,0,1
0.008,0,0,1
0.008,-30,0,0
0.008,0,0,1
0.008,40,0,1
0.008,0,0,1
0.008,40,0,0
0.008,0,0,1
0.008,-40,0,1
0.008,0,0,1
0.008,-40,0,0
0.008,0,0,1
0.008,20,0,1
0.008,0,0,1
0.008,20,0,0
0.008,0,0,1
0.008,-20,0,1
0.008,0,0,1
0.008,-20,0,0
0.008,0,0,1
