game,difficulty,amplitude,velocity,time,xpos,y_computer,y_human,y_error,trial,x,y,z
juego1,facil,80.0,0.008,28013,700,350,348,-2,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28028,700,348,348,0,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28038,700,347,348,1,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28048,700,346,348,2,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28058,700,344,348,4,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28068,700,343,348,5,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28078,700,342,348,6,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28088,700,341,348,7,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28098,700,339,348,9,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28108,700,338,348,10,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28118,700,337,348,11,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28128,700,335,348,13,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28138,700,334,348,14,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28148,700,333,348,15,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28158,700,332,348,16,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28168,700,330,348,18,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28178,700,329,348,19,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28188,700,328,348,20,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28198,700,327,348,21,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28208,700,325,348,23,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28218,700,324,348,24,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28228,700,323,348,25,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28238,700,321,348,27,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28248,700,320,348,28,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28258,700,319,348,29,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28268,700,318,348,30,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28278,700,316,348,32,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28288,700,315,348,33,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28299,700,314,348,34,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28309,700,313,348,35,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28319,700,311,348,37,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28329,700,310,348,38,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28339,700,309,348,39,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28349,700,308,348,40,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28359,700,307,348,41,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28369,700,305,348,43,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28379,700,304,348,44,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28389,700,303,348,45,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28399,700,302,348,46,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28409,700,300,348,48,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28419,700,300,348,48,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28429,700,299,348,49,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28439,700,298,348,50,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28449,700,297,348,51,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28459,700,295,348,53,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28469,700,294,348,54,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28479,700,293,348,55,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28489,700,292,348,56,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28499,700,291,348,57,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28509,700,289,348,59,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28519,700,288,348,60,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28529,700,287,348,61,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28539,700,286,348,62,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28549,700,285,348,63,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28559,700,284,348,64,0,0.4407622218132019,2.1791694164276123,359.4247741699219
juego1,facil,80.0,0.008,28569,700,282,348,66,0,0.4407622218132019,2.1791694164276123,359.4247741699219
