game,difficulty,amplitude,velocity,time,xpos,y_computer,y_human,y_error,trial,x,y,z
juego1,facil,80.0,0.008,22336,700,345,345,0,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22352,700,343,345,2,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22362,700,342,345,3,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22372,700,341,345,4,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22382,700,340,345,5,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22392,700,338,345,7,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22402,700,337,345,8,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22412,700,336,345,9,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22422,700,335,345,10,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22432,700,333,345,12,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22442,700,332,345,13,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22452,700,331,345,14,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22462,700,330,345,15,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22472,700,328,345,17,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22482,700,327,345,18,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22492,700,326,345,19,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22502,700,325,345,20,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22512,700,323,345,22,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22526,700,322,345,23,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22536,700,321,345,24,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22546,700,320,345,25,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22556,700,318,345,27,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22566,700,317,345,28,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22576,700,316,345,29,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22586,700,315,345,30,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22596,700,314,345,31,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22606,700,312,345,33,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22616,700,311,345,34,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22626,700,310,345,35,0,0.8673744797706604,1.7941733598709106,356.5087890625
juego1,facil,80.0,0.008,22636,700,309,345,36,0,0.8673744797706604,1.7941733598709106,356.5087890625
